Autor,Título,Área do Conhecimento,Tipo Documento,Unidade,Ano,Link
"Barros, Juliana Augusta Medeiros de",A interpretação constitucional evolutiva e a cidadania social: elementos para uma...,Direito do Trabalho e da Seguridade Social,Tese de Doutorado,Faculdade de Direito,2012,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-18022013-141338/?&lang=pt-br
"Barros, Veronica Altef",Qualificação profissional do trabalhador doméstico no Brasil: análise na perspectiva...,Direito do Trabalho e da Seguridade Social,Tese de Doutorado,Faculdade de Direito,2013,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-18112016-094221/?&lang=pt-br
"Basile, César Reinaldo Offa",A dignidade da pessoa humana e o valor social do trabalho na interpretação e aplicação...,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2009,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-27052010-073650/?&lang=pt-br
"Bastazine, Cleber Alves",Mediação em relações individuais de trabalho,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2012,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-13122012-155547/?&lang=pt-br
"Batalha, Elton Duarte",Democratização da relação de emprego: a efetivação do direito de participação  dos...,Direito do Trabalho e da Seguridade Social,Tese de Doutorado,Faculdade de Direito,2014,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-12122014-100722/?&lang=pt-br
"Batalha, Elton Duarte",Transformações do sistema jurídico trabalhista: do poder normativo à negociação ...,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2010,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-23112010-100826/?&lang=pt-br
"Batista, Flávio Roberto",Crítica da tecnologia dos direitos sociais: uma contribuição materialista histór...,Direito do Trabalho e da Seguridade Social,Tese de Doutorado,Faculdade de Direito,2012,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-18022013-144024/?&lang=pt-br
"Beltramelli Neto, Sílvio",Amplitude das obrigações do empregador frente ao direito à moradia do trabalhador...,Direito do Trabalho e da Seguridade Social,Tese de Doutorado,Faculdade de Direito,2013,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-13022014-104700/?&lang=pt-br
"Berardo, Carlos Francisco","A era dos Direitos Sociais: lineamentos históricos, filosóficos e jurídicos dos Direitos...",Direito do Trabalho e da Seguridade Social,Tese de Doutorado,Faculdade de Direito,2013,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-29082013-080318/?&lang=pt-br
"Betti, Leonardo Aliaga","Análise crítica do contrato de trabalho intermitente, à luz da evolução do direito...",Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2020,https://www.teses.usp.br/teses/disponiveis/2/2138/tde-30042021-200338/?&lang=pt-br
"Bezerra, Katbe Waquim Figueirêdo Lira","Trabalho doméstico no Brasil: origens, regulamentação e representação em Machado...",Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2017,https://www.teses.usp.br/teses/disponiveis/2/2138/tde-19022021-131526/?&lang=pt-br
"Bicalho, Wolker Volanin",Limites materiais do poder constituinte derivado nas reformas da previdência dos...,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2018,https://www.teses.usp.br/teses/disponiveis/2/2138/tde-22102020-204641/?&lang=pt-br
"Bórtoli, Roberto Covolo",Uma nova análise da consciência no Direito do Trabalho,Direito do Trabalho e da Seguridade Social,Tese de Doutorado,Faculdade de Direito,2017,https://www.teses.usp.br/teses/disponiveis/2/2138/tde-19022021-174602/?&lang=pt-br
"Boucinhas Filho, Jorge Cavalcanti",Tutela judicial e movimentos grevistas: um estudo sobre a atuação dos orgãos do poder...,Direito do Trabalho e da Seguridade Social,Tese de Doutorado,Faculdade de Direito,2012,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-27082013-110302/?&lang=pt-br
